1.6835,-0.90168,0.25191,-0.17895,-0.24844,-1.0129,1.2248,-0.81828
0.65242,0.65242,-0.28543,-0.6932,0.48932,0.65242,0.65242,-2.1204
1.2077,-0.042405,-0.39559,0.49202,0.5106,-0.36771,0.66861,-2.0732
1.9412,-0.40725,-0.88237,0.47512,-0.095024,-0.55657,0.66517,-1.1403
1.7266,0.4988,-1.3941,-0.0042633,0.24301,-1.1639,0.4988,-0.40501
1.6851,0.45331,-0.6025,-0.75551,-0.38063,-1.49,0.72109,0.36915
1.955,0.60953,-1.0395,-0.69552,0.40719,-0.83715,-0.58424,0.18463
1.9604,0.37511,-1.0553,-0.37696,0.10968,-1.306,0.14654,0.14654
1.2951,0.30083,0.30083,-1.281,0.5268,0.30083,0.30083,-1.7442
1.6998,1.0931,-0.2461,-0.45214,0.10874,-1.2191,0.085849,-1.0702
1.4826,1.4826,-1.0914,-0.35007,-0.2677,-1.0296,0.14415,-0.37066
-0.11191,1.4167,-0.50498,-0.90897,1.7333,-0.59233,-0.43947,-0.59233
1.449,0.24245,0.86099,0.73117,-0.055363,-1.3077,-0.89535,-1.0252
-0.35355,2.4749,-0.35355,-0.35355,-0.35355,-0.35355,-0.35355,-0.35355
1.3118,-0.072881,0.87457,0.90696,0.072881,-0.7531,-1.6034,-0.7369
1.4574,0.012409,0.63011,0.27714,0.79557,-1.4546,-0.56117,-1.1568
0.74158,0.90727,0.97141,0.41021,-0.45564,0.29263,-1.6689,-1.1986
0.9763,0.94227,0.90483,0.43519,0.16633,-0.76615,-1.3005,-1.3583
1.8925,-0.55303,0.18805,-0.10097,0.26957,0.59564,-1.0644,-1.2274
1.0428,0.6308,0.51845,0.20949,0.96786,-1.0545,-1.6443,-0.6706
0.82774,2.0649,-0.055968,-0.15023,-0.93968,-0.65689,-0.30341,-0.7865
1.6809,0.42517,-0.48114,0.14673,0.74184,-0.071658,-1.5403,-0.90153
1.9678,0.95451,-0.35711,-0.45562,0.1242,-0.40777,-1.0411,-0.78493
0.55668,0.55668,-0.2364,0.55668,-0.2364,0.55668,-2.3106,0.55668
1.8294,0.59835,-0.030286,0.13342,0.081036,-0.67202,-1.6543,-0.28567
1.4876,1.1277,0.89915,-0.83811,-0.7536,-1.0071,-0.41866,-0.49692
1.5812,0.7235,1.0094,-0.13417,-0.39498,-0.79623,-0.70093,-1.2878
0.74584,0.55369,0.74078,0.6801,0.76101,-0.64976,-1.656,-1.1756
1.3075,1.2692,-0.49332,-0.054158,0.24353,0.21405,-1.5868,-0.90006
1.3871,1.2739,0.41385,0.21164,-0.20086,-1.1337,-0.92072,-1.0313
1.1865,0.72669,-0.2856,0.12431,1.2007,-0.73114,-1.6222,-0.59926
0.34513,0.84436,0.23306,0.3757,1.3945,-1.336,-0.419,-1.4378
-0.13556,-0.25832,0.84658,1,-0.59593,-1.0461,1.4604,-1.2712
-0.79678,-1.0628,0.51891,1.6256,0.9084,0.35267,-0.47379,-1.0723
-0.2234,0.46727,-0.052512,1.3858,1.0725,-0.17356,-1.7685,-0.70758
-0.71537,-0.1075,1.1353,1.6125,0.62194,-0.75139,-1.0081,-0.78742
0.12956,0.44051,1.7057,0.67282,-0.2207,-0.17781,-1.4931,-1.057
0.31686,-0.31391,1.4798,0.87667,0.63225,-0.4716,-1.1103,-1.4099
-0.056651,0.014333,1.1501,1.0682,1.0409,-1.0723,-1.0777,-1.0668
-0.042126,-0.32648,1.6218,1.0847,0.44759,-1.3428,-0.57923,-0.86358
-0.039901,0.36443,1.1603,0.87517,0.97306,-0.85708,-1.1805,-1.2955
-0.37519,-0.54835,0.55476,1.0101,1.3051,0.19561,-0.29823,-1.8439
-0.67147,-0.56509,0.54213,1.7896,0.94344,-0.58443,-1.1985,-0.25565
-0.86725,0.40718,0.56582,1.5758,0.38074,0.37545,-1.1158,-1.322
-0.95581,0.54931,1.4978,1.1169,-0.098877,0.025635,-1.1133,-1.0217
